Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Alto Molocue;40201;Zambezia Alto Molocue Alto Molocue;Zambezia;Alto Molocue;Alto Molocue;Alto Molocue;Surface water;3390;13,5
Alto Ligonha;40402;Zambezia Gile Alto Ligonha;Zambezia;Gile;Alto Ligonha;Alto Ligonha;Surface water;1231;14,7
Alto Changane;90302;Gaza Chibuto Alto Changane;Gaza;Chibuto;Alto Changane;Alto Changane;Surface water;1024;48,1
7 De Abril;30704;Nampula Meconta 7 De Abril;Nampula;Meconta;7 De Abril;7 De Abril;Surface water;357;9,5
3 de Fevereiro;100406;Maputo Provincia Manhi.a 3 de Fevereiro;Maputo Provincia;Manhi.a;3 de Fevereiro;3 de Fevereiro;Surface water;8;0,2
NA_KEY_1;NA_KEY_1;Inhambane Cidade de Inhambane Nao Aplocavel;Inhambane;Cidade de Inhambane;Nao Aplocavel;NA;Surface water;0;0
NA_KEY_2;NA_KEY_2;Inhambane Cidade de Maxixe Nao Aplicavel;Inhambane;Cidade de Maxixe;Nao Aplicavel;Nao Aplicavel;Surface water;25;0,2
NA_KEY_3;NA_KEY_3;Inhambane Homoine Homoine --Sede;Inhambane;Homoine;Homoine --Sede;Homoine --Sede;Surface water;300;5,2
NA_KEY_4;NA_KEY_4;Inhambane Homoine Homoine-Sede;Inhambane;Homoine;Homoine-Sede;Homoine-Sede;Surface water;146;5
NA_KEY_5;NA_KEY_5;Manica Sussundenga Sussundenga;Manica;Sussundenga;Sussundenga;Sussundenga;Surface water;239;14,8
NA_KEY_6;NA_KEY_6;Maputo Cidade Ka Mavota Nao Aplicavel;Maputo Cidade;Ka Mavota;Nao Aplicavel;NA;Surface water;0;0
NA_KEY_7;NA_KEY_7;Nampula Erati Namapa-Sede;Nampula;Erati;Namapa-Sede;Namapa-Sede;Surface water;249;6,5
NA_KEY_8;NA_KEY_8;Nampula Lalaua Lalaua;Nampula;Lalaua;Lalaua;Lalaua;Surface water;1388;20,5
NA_KEY_9;NA_KEY_9;Nampula Mogovolas Nametil-Sede;Nampula;Mogovolas;Nametil-Sede;Nametil-Sede;Surface water;205;5,4
NA_KEY_10;NA_KEY_10;Nampula Mogovolas Namitil-Sede;Nampula;Mogovolas;Namitil-Sede;Namitil-Sede;Surface water;620;8
NA_KEY_11;NA_KEY_11;Nampula Muecate Muecate;Nampula;Muecate;Muecate;Muecate;Surface water;168;4,1
NA_KEY_12;NA_KEY_12;Nampula Nampula Namikopo;Nampula;Nampula;Namikopo;Namikopo;Surface water;141;9,6
NA_KEY_13;NA_KEY_13;Niassa Ngauma Ngauma;Niassa;Ngauma;Ngauma;Ngauma;Surface water;99;6
NA_KEY_14;NA_KEY_14;Zambezia Namacurra Malei;Zambezia;Namacurra;Malei;Malei;Surface water;56;2,6
NA_KEY_15;NA_KEY_15;Zambezia Nicoadala Munhonha;Zambezia;Nicoadala;Munhonha;Munhonha;Surface water;53;0,9
NA_KEY_16;NA_KEY_16;Zambezia Nicoadala Namacata;Zambezia;Nicoadala;Namacata;Namacata;Surface water;74;2,1
